# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,
# COLUMN pl_name:        Planet Name,,,,,,,,
# COLUMN pl_orbper:      Orbital Period [days],,,,,,,,
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass],,,,,,,,
# COLUMN st_teff:        Stellar Effective Temperature [K],,,,,,,,
# COLUMN st_rad:         Stellar Radius [Solar Radius],,,,,,,,
# COLUMN st_mass:        Stellar Mass [Solar mass],,,,,,,,
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)],,,,,,,,
# COLUMN sy_dist:        Distance [pc],,,,,,,,
# COLUMN sy_gaiamag:     Gaia Magnitude,,,,,,,,
#,,,,,,,,
pl_name,pl_orbper,pl_bmasse,st_teff,st_rad,st_mass,st_logg,sy_dist,sy_gaiamag
11 Com b,326.03,6165.6,4742,19,2.7,2.31,93.1846,4.44038
11 UMi b,516.21997,4684.8142,4213,29.79,2.78,1.93,125.321,4.56216
14 And b,185.84,1525.5,4813,11,2.2,2.63,75.4392,4.91781
14 Her b,1765.0389,2559.47216,,,0.91,,17.9323,6.383
16 Cyg B b,798.5,565.7374,5750,1.13,1.08,4.36,21.1397,6.06428
17 Sco b,578.38,1373.01872,4157,25.92,1.22,1.7,124.953,4.75429
18 Del b,993.3,3273.5,4979,8.5,2.3,2.82,76.222,5.27476
1RXS J160929.1-210524 b,,3000,4060,,0.85,,139.135,12.0572
24 Boo b,30.3506,289.2253,4893,10.64,0.99,2.42,95.9863,5.3339
24 Sex b,452.8,632.46,5098,4.9,1.54,3.5,72.0691,6.20374
24 Sex c,883,273.32,5098,4.9,1.54,3.5,72.0691,6.20374
2M0437 b,,1271.31363,3100,0.84,0.17,4.5,128.484,14.3374
2MASS J01033563-5515561 AB b,,4131.79,,,0.19,,,
2MASS J01225093-2439505 b,,7786.5,3530,,0.4,,33.8281,12.9025
2MASS J02192210-3925225 b,,4417.837,3064,0.28,0.11,4.59,,15.0123
2MASS J04414489+2301513 b,,2383.6,,,0.02,,,18.9668
2MASS J12073346-3932539 b,,1589.15,,,0.02,,64.308,17.4076
2MASS J19383260+4603591 b,406,591.16084,29564,0.2,0.48,5.51,396.332,12.1376
2MASS J22362452+4751425 b,,3972.875,4045,,0.6,,69.5737,11.9484
30 Ari B b,335.10001,4392.4106,6331,1.41,1.93,4.43,44.657,6.96085
4 UMa b,269.3,2256.5,4415,18.11,1.23,1.8,73.4603,4.23773
42 Dra b,479.1,1233.13,4200,22.03,0.98,1.71,90.6545,4.43216
47 UMa b,1078,804.08,5872,1.21,1.06,4.3,13.7967,4.87837
47 UMa c,2391,171.621,5872,1.21,1.06,4.3,13.7967,4.87837
47 UMa d,14002,521.22,5872,1.21,1.06,4.3,13.7967,4.87837
51 Eri b,,635.66,,,1.75,,29.7575,5.15806
51 Peg b,4.230785,150.009,5758,1.18,1.03,4.31,15.4614,5.28647
55 Cnc b,14.6516,255.4,5172,0.94,0.91,4.43,12.5855,5.72973
55 Cnc c,44.3989,51.2,5172,0.94,0.91,4.43,12.5855,5.72973
55 Cnc d,5574.2,991.6,5172,0.94,0.91,4.43,12.5855,5.72973
55 Cnc e,0.7365474,7.99,5172,0.94,0.91,4.43,12.5855,5.72973
55 Cnc f,259.88,47.8,5172,0.94,0.91,4.43,12.5855,5.72973
6 Lyn b,934.3,638.8383,4938,5.2,1.44,3.19,54.6599,5.60686
61 Vir b,4.215,5.1,5577,0.96,0.94,4.34,8.50332,4.54052
61 Vir c,38.021,18.2,5577,0.96,0.94,4.34,8.50332,4.54052
61 Vir d,123.01,22.9,5577,0.96,0.94,4.34,8.50332,4.54052
7 CMa b,735.1,587.9855,4826,4.87,1.34,3.19,19.8101,3.67853
7 CMa c,996,276.5121,4826,4.87,1.34,3.19,19.8101,3.67853
70 Vir b,116.688,2357.02728,5495,1.89,1.09,3.95,17.9011,4.76178
75 Cet b,691.9,953.49,4846,10.5,2.49,2.63,82.9613,5.09343
8 UMi b,93.4,416.3573,4847,10.3,1.44,2.57,162.552,6.55896
81 Cet b,952.7,1684.4,4785,11,2.4,2.35,101.26,5.37588
91 Aqr b,181.4,1017,4665,11,1.4,2.52,44.0304,3.95311
AB Aur b,,2860.45566,9770,,2.4,,162.127,7.07854
AB Pic b,,4290.5,,,,,50.0475,8.8378
AF Lep b,8030,1017.0509,6130,1.25,1.2,,26.8564,6.18644
AU Mic b,8.4629991,20.12,,,0.5,,9.7221,7.84038
AU Mic c,18.858991,9.6,,,0.5,,9.7221,7.84038
BD+03 2562 b,481.9,2034.112,4095,32.35,1.14,1.89,1070.63,8.9977
BD+14 4559 b,268.94,330.5432,4864,0.86,0.49,4.26,49.352,9.35108
BD+15 2375 b,153.22,337.21763,4649,8.95,1.08,2.61,768.045,9.9918
BD+15 2940 b,137.48,352.78,4796,14.7,1.1,2.8,426.42,8.7178
BD+20 2457 b,379.63,6807.63,4137,49,2.8,1.51,1539.71,9.22684
BD+20 2457 c,621.99,3963.17,4137,49,2.8,1.51,1539.71,9.22684
BD+20 274 b,578.2,1334.886,4296,17.3,0.8,1.99,1322.51,8.91613
BD+20 594 b,41.6855,22.2481,5766,1.08,1.67,4.5,179.461,10.8644
BD+45 564 b,307.88,432.24663,5004,,0.81,4.22,53.622,9.41266
BD+48 738 b,392.6,289.2253,4414,11,0.74,2.24,871.493,8.65569
BD+48 740 b,733,540.311,4534,10.33,1.09,2.48,666.589,8.26449
BD+49 828 b,2590,508.5,4943,7.6,1.52,2.85,442.042,9.02851
BD+55 362 b,265.59,228.83645,5012,,0.91,4.09,52.5697,9.15305
BD+60 1417 b,,4767.4261,4993,0.8,1,4.55,44.9543,9.17439
BD+63 1405 b,1198.48,1258.60049,5000,,0.82,4.2,38.0473,8.705
BD-00 4475 b,723.2,7961.6016,5040,,0.81,4.25,42.6402,8.78101
BD-06 1339 b,3.8728,8.5,4324,,0.7,4.74,20.2695,9.10677
BD-06 1339 c,125.94,53,4324,,0.7,4.74,20.2695,9.10677
BD-08 2823 b,5.6,12.7132,4816,0.71,0.5,4.43,41.3342,9.50331
BD-08 2823 c,237.6,104,4746,,0.74,4.13,41.3342,9.50331
BD-10 3166 b,3.48777,187.5197,5393,0.91,1.47,4.69,84.4069,9.83981
BD-11 4672 b,1634,206.5895,4550,0.64,0.65,4.64,27.1665,9.48511
BD-11 4672 c,74.2,15.37,4550,0.64,0.65,4.64,27.1665,9.48511
BD-13 2130 b,714.29999,3108.3774,4545,19.17,2.12,2.2,925.214,9.69971
