TIC ID,Period (days),Predicted Mass (M_Earth),Stellar Teff (K),Stellar Radius (R_Sun),Stellar Mass (M_Sun),Stellar log(g) (cm/s2),Stellar Distance (pc),TESS mag
231663901.00 ,1.43036914,116.12,5600,0.890774012,1.05,4.48851,375.31,12.4069
149603524,4.4119378,317,6280,1.21,1.28,4.32092,175.631,9.7109
336732616.00 ,3.547854,116.75,6351,1.4,1.27,4.22896,411.211,11.5232
231670397.00 ,4.087299396,121.75,6036,2.218669891,1.16,3.93359,316.678,9.8638
144065872.00 ,2.184666949,122.95,5630,1.238240004,1.03,4.37759,137.544,9.4995
38846515.00 ,2.8493822,317,6900,1.77,1.44,4.438,364.411,10.3157
92352620.00 ,3.950200943,317,6153,1.71036005,1.14,4.18077,211.211,9.6433
289793076.00 ,3.044054067,99.64,5523,0.809867978,0.95,4.52192,421.855,13.163
29344935.00 ,2.766747877,98.43,5346,0.984866023,0.93,4.48823,513.011,13.2366
281459670.00 ,3.174347391,317,5943,1.157060027,1.03,4.42524,342.14,11.6714
355703913.00 ,2.106160734,105.79,5380,0.940697014,0.95,4.4337,508.842,13.183
388104525.00 ,2.499799598,125.23,5650,1.137320042,1,4.28867,302.448,11.6035
97409519.00 ,3.372877,317,6050,1.02,1.17,4.45061,448.637,12.1893
25155310.00 ,3.288787761,77.37,5800,1.241750002,1.01,4.28004,216.526,10.6103
281541555.00 ,4.742378477,76.81,5377,0.877584994,0.96,4.42476,453.808,13.0417
238176110.00 ,2.798579441,94.86,4920,0.906655014,0.81,4.49371,149.942,11.0443
322307342.00 ,3.5862962,317,5704.8,2.004410028,1.02,3.84,603.955,11.7806
266980320.00 ,6.034456878,20.4,5586,1.051679969,0.97,4.36763,94.1719,9.179
278683844.00 ,5.5411098,4.67,5332,0.82,0.86,4.56429,66.6187,9.2789
278683844.00 ,10.6917268,3.69,5332,0.82,0.86,4.56429,66.6187,9.2789
394137592.00 ,11.535076,90.88,5479.3,2.48771,0.96,3.77,79.5702,7.1062
207081058.00 ,14.76367,317,6053,1.23,1.14,4.3135,182.169,9.9358
231702397.00 ,5.078025486,7.82,3318,0.334125012,0.315858,4.9581,62.118,13.084
290131778.00 ,3.308877305,317,6188,2.623919964,1.263,4.27166,161.498,7.87598
29831208.00 ,1.8428078,317,5080,4.09,,4.48159,809.252,11.1311
52368076.00 ,4.651790585,10.99,5154,0.852266014,0.91,4.47072,111.059,10.1985
52368076.00 ,9.154662106,9.04,5154,0.852266014,0.91,4.47072,111.059,10.1985
52368076.00 ,19.9812509,8.65,5154,0.852266014,0.91,4.47072,111.059,10.1985
70440470.00 ,3.035397712,124.3,5751,1.072239995,1.09,4.35036,573.027,12.7923
234523599.00 ,3.795517784,76,3424,0.445371985,0.44159,4.438,140.225,14.1266
391949880.00 ,4.9404783,5.31,6086,1.13,1.13,4.26269,68.4727,7.9849
201248411.00 ,0.980980684,29.49,4486,0.764401019,0.7,4.49914,61.7856,9.9005
263003176.00 ,14.3392065,5.98,6295.7,1.137420058,1.23,4.438,57.5846,7.4371
235037761.00 ,6.24072,64.05,4174,0.9,,4.34197,,9.8567
89020549.00 ,2.109684883,12.19,5673,0.940805972,0.91,4.55383,163.678,10.8061
219338557.00 ,8.199227189,5.5,4028,0.65053302,0.67,4.55902,48.6326,9.9762
234994474.00 ,1.401524516,3.68,3794,0.597006977,0.58564,4.67812,25.1496,9.22978
267263253.00 ,4.12691,317,6888,1.59,1.46,4.23416,196.852,9.2205
